Year,Rain0,Temp1,Rain1,Temp2,Rain2,Temp3,Rain3,Temp4,Yield
1.93E+03,1.78E+01,6.02E+01,5.83E+00,6.90E+01,1.49E+00,7.79E+01,2.42E+00,7.44E+01,3.40E+01
1.93E+03,1.48E+01,5.75E+01,3.83E+00,7.50E+01,2.72E+00,7.72E+01,3.30E+00,7.26E+01,3.29E+01
1.93E+03,2.80E+01,6.23E+01,5.17E+00,7.20E+01,3.12E+00,7.58E+01,7.10E+00,7.22E+01,4.30E+01
1.93E+03,1.68E+01,6.05E+01,1.64E+00,7.78E+01,3.45E+00,7.64E+01,3.01E+00,7.05E+01,4.00E+01
1.93E+03,1.14E+01,6.95E+01,3.49E+00,7.72E+01,3.85E+00,7.97E+01,2.84E+00,7.34E+01,2.30E+01
1.94E+03,2.27E+01,5.50E+01,7.00E+00,6.59E+01,3.35E+00,7.94E+01,2.42E+00,7.36E+01,3.84E+01
1.94E+03,1.79E+01,6.62E+01,2.85E+00,7.01E+01,5.10E-01,8.34E+01,3.48E+00,7.92E+01,2.00E+01
1.94E+03,2.33E+01,6.18E+01,3.80E+00,6.90E+01,2.63E+00,7.59E+01,3.99E+00,7.78E+01,4.46E+01
1.94E+03,1.85E+01,5.95E+01,4.67E+00,6.92E+01,4.24E+00,7.65E+01,3.82E+00,7.57E+01,4.63E+01
1.94E+03,1.86E+01,6.64E+01,5.32E+00,7.14E+01,3.15E+00,7.62E+01,4.72E+00,7.07E+01,5.22E+01
1.94E+03,1.24E+01,5.84E+01,3.56E+00,7.13E+01,4.57E+00,7.67E+01,6.44E+00,7.07E+01,5.23E+01
1.94E+03,1.61E+01,6.60E+01,6.20E+00,7.00E+01,2.24E+00,7.51E+01,1.94E+00,7.51E+01,5.10E+01
1.94E+03,2.71E+01,5.93E+01,5.93E+00,6.97E+01,4.89E+00,7.43E+01,3.17E+00,7.22E+01,5.99E+01
1.94E+03,1.91E+01,5.75E+01,6.16E+00,7.16E+01,4.56E+00,7.54E+01,5.07E+00,7.40E+01,5.47E+01
1.94E+03,2.08E+01,6.46E+01,5.88E+00,7.17E+01,3.73E+00,7.26E+01,5.88E+00,7.18E+01,5.20E+01
1.95E+03,2.19E+01,5.51E+01,4.70E+00,6.41E+01,2.96E+00,7.21E+01,3.43E+00,7.25E+01,4.35E+01
1.95E+03,2.00E+01,5.65E+01,6.41E+00,6.98E+01,2.45E+00,7.38E+01,3.56E+00,6.89E+01,5.67E+01
1.95E+03,2.32E+01,5.56E+01,1.04E+01,6.63E+01,1.72E+00,7.28E+01,1.49E+00,8.06E+01,3.05E+01
1.95E+03,1.91E+01,5.92E+01,3.42E+00,6.86E+01,4.14E+00,7.50E+01,2.54E+00,7.39E+01,6.05E+01
1.95E+03,1.83E+01,6.35E+01,5.51E+00,7.24E+01,3.47E+00,7.62E+01,2.34E+00,7.30E+01,4.61E+01
1.95E+03,1.84E+01,5.98E+01,5.70E+00,6.84E+01,4.65E+00,6.97E+01,2.39E+00,6.77E+01,4.82E+01
1.95E+03,2.20E+01,6.22E+01,6.11E+00,6.52E+01,4.45E+00,7.21E+01,6.21E+00,7.05E+01,4.31E+01
1.95E+03,1.91E+01,5.96E+01,5.40E+00,7.42E+01,3.84E+00,7.47E+01,4.78E+00,7.00E+01,6.22E+01
1.95E+03,1.57E+01,6.00E+01,5.31E+00,7.32E+01,3.28E+00,7.46E+01,2.33E+00,7.32E+01,5.29E+01
1.95E+03,1.59E+01,5.56E+01,6.36E+00,7.29E+01,1.79E+00,7.74E+01,7.10E+00,7.21E+01,5.39E+01
1.96E+03,1.68E+01,6.36E+01,3.07E+00,6.72E+01,3.29E+00,7.98E+01,1.79E+00,7.72E+01,4.84E+01
1.96E+03,1.23E+01,6.24E+01,2.56E+00,7.47E+01,4.51E+00,7.27E+01,4.42E+00,7.30E+01,5.28E+01
1.96E+03,1.58E+01,5.90E+01,4.84E+00,6.89E+01,3.54E+00,7.79E+01,3.76E+00,7.29E+01,6.21E+01
1.96E+03,1.52E+01,6.25E+01,3.80E+00,6.64E+01,7.55E+00,7.05E+01,2.55E+00,7.30E+01,6.60E+01
1.96E+03,2.17E+01,6.28E+01,4.11E+00,7.15E+01,2.29E+00,7.23E+01,4.92E+00,7.63E+01,6.42E+01
1.96E+03,2.51E+01,5.97E+01,4.43E+00,6.74E+01,2.76E+00,7.26E+01,5.36E+00,7.32E+01,6.32E+01
1.96E+03,1.78E+01,5.74E+01,3.36E+00,6.94E+01,5.51E+00,7.26E+01,3.04E+00,7.24E+01,7.54E+01
1.96E+03,2.66E+01,6.66E+01,3.12E+00,6.91E+01,6.27E+00,7.16E+01,4.31E+00,7.25E+01,7.60E+01
